node_name,count,patient_list,DDTRequestTime,KSRequestTime,KSTimeCommunication,KSTimeExec,TaggingTimeCommunication,TaggingTimeExec,medco-connector-DDT,medco-connector-i2b2-PDO,medco-connector-i2b2-PSM,medco-connector-local-agg,medco-connector-local-patient-list-masking,medco-connector-overall,medco-connector-unlynx-key-switch-count,medco-connector-unlynx-key-switch-patient-list
MEDCO_theone_0_iccluster032.iccluster.epfl.ch,71,[4004 4020 4021 4029 4050 4055 4062 4081 4084 4088 4089 11978 11994 11995 12003 12024 12029 12036 12055 12058 12062 12063 19952 19968 19969 19977 19998 20003 20010 20029 20032 20036 20037 27926 27942 27943 27951 27972 27977 27984 28003 28006 28010 28011 35900 35916 35917 35925 35946 35951 35958 35977 35980 35984 35985 43874 43890 43891 43899 43920 43925 43932 43951 43954 43958 43959 49017 49018 49019 49026 49040],107,174,153,0,75,24,109,87,25108,2,50,25556,15,181
MEDCO_theone_1_iccluster035.iccluster.epfl.ch,71,[4004 4020 4021 4029 4050 4055 4062 4081 4084 4088 4089 11978 11994 11995 12003 12024 12029 12036 12055 12058 12062 12063 19952 19968 19969 19977 19998 20003 20010 20029 20032 20036 20037 27926 27942 27943 27951 27972 27977 27984 28003 28006 28010 28011 35900 35916 35917 35925 35946 35951 35958 35977 35980 35984 35985 43874 43890 43891 43899 43920 43925 43932 43951 43954 43958 43959 49017 49018 49019 49026 49040],112,177,155,0,75,27,115,87,25847,4,54,26307,12,185
MEDCO_theone_2_iccluster039.iccluster.epfl.ch,71,[4004 4020 4021 4029 4050 4055 4062 4081 4084 4088 4089 11978 11994 11995 12003 12024 12029 12036 12055 12058 12062 12063 19952 19968 19969 19977 19998 20003 20010 20029 20032 20036 20037 27926 27942 27943 27951 27972 27977 27984 28003 28006 28010 28011 35900 35916 35917 35925 35946 35951 35958 35977 35980 35984 35985 43874 43890 43891 43899 43920 43925 43932 43951 43954 43958 43959 49017 49018 49019 49026 49040],116,161,141,0,78,28,119,84,25983,2,53,26425,11,169
MEDCO_theone_0_iccluster032.iccluster.epfl.ch,71,[4004 4020 4021 4029 4050 4055 4062 4081 4084 4088 4089 11978 11994 11995 12003 12024 12029 12036 12055 12058 12062 12063 19952 19968 19969 19977 19998 20003 20010 20029 20032 20036 20037 27926 27942 27943 27951 27972 27977 27984 28003 28006 28010 28011 35900 35916 35917 35925 35946 35951 35958 35977 35980 35984 35985 43874 43890 43891 43899 43920 43925 43932 43951 43954 43958 43959 49017 49018 49019 49026 49040],107,164,142,0,72,27,109,94,24767,2,50,25209,11,172
MEDCO_theone_1_iccluster035.iccluster.epfl.ch,71,[4004 4020 4021 4029 4050 4055 4062 4081 4084 4088 4089 11978 11994 11995 12003 12024 12029 12036 12055 12058 12062 12063 19952 19968 19969 19977 19998 20003 20010 20029 20032 20036 20037 27926 27942 27943 27951 27972 27977 27984 28003 28006 28010 28011 35900 35916 35917 35925 35946 35951 35958 35977 35980 35984 35985 43874 43890 43891 43899 43920 43925 43932 43951 43954 43958 43959 49017 49018 49019 49026 49040],119,175,153,0,81,29,120,87,25709,6,54,26174,12,183
MEDCO_theone_2_iccluster039.iccluster.epfl.ch,71,[4004 4020 4021 4029 4050 4055 4062 4081 4084 4088 4089 11978 11994 11995 12003 12024 12029 12036 12055 12058 12062 12063 19952 19968 19969 19977 19998 20003 20010 20029 20032 20036 20037 27926 27942 27943 27951 27972 27977 27984 28003 28006 28010 28011 35900 35916 35917 35925 35946 35951 35958 35977 35980 35984 35985 43874 43890 43891 43899 43920 43925 43932 43951 43954 43958 43959 49017 49018 49019 49026 49040],106,174,153,0,73,22,109,101,25955,2,42,26403,10,181
MEDCO_theone_0_iccluster032.iccluster.epfl.ch,71,[4004 4020 4021 4029 4050 4055 4062 4081 4084 4088 4089 11978 11994 11995 12003 12024 12029 12036 12055 12058 12062 12063 19952 19968 19969 19977 19998 20003 20010 20029 20032 20036 20037 27926 27942 27943 27951 27972 27977 27984 28003 28006 28010 28011 35900 35916 35917 35925 35946 35951 35958 35977 35980 35984 35985 43874 43890 43891 43899 43920 43925 43932 43951 43954 43958 43959 49017 49018 49019 49026 49040],108,173,153,0,69,27,110,87,25653,2,53,26100,10,181
MEDCO_theone_1_iccluster035.iccluster.epfl.ch,71,[4004 4020 4021 4029 4050 4055 4062 4081 4084 4088 4089 11978 11994 11995 12003 12024 12029 12036 12055 12058 12062 12063 19952 19968 19969 19977 19998 20003 20010 20029 20032 20036 20037 27926 27942 27943 27951 27972 27977 27984 28003 28006 28010 28011 35900 35916 35917 35925 35946 35951 35958 35977 35980 35984 35985 43874 43890 43891 43899 43920 43925 43932 43951 43954 43958 43959 49017 49018 49019 49026 49040],113,177,152,0,79,25,116,84,25753,2,53,26209,11,187
MEDCO_theone_2_iccluster039.iccluster.epfl.ch,71,[4004 4020 4021 4029 4050 4055 4062 4081 4084 4088 4089 11978 11994 11995 12003 12024 12029 12036 12055 12058 12062 12063 19952 19968 19969 19977 19998 20003 20010 20029 20032 20036 20037 27926 27942 27943 27951 27972 27977 27984 28003 28006 28010 28011 35900 35916 35917 35925 35946 35951 35958 35977 35980 35984 35985 43874 43890 43891 43899 43920 43925 43932 43951 43954 43958 43959 49017 49018 49019 49026 49040],103,172,150,0,65,28,105,104,26032,2,52,26489,10,180
MEDCO_theone_0_iccluster032.iccluster.epfl.ch,71,[4004 4020 4021 4029 4050 4055 4062 4081 4084 4088 4089 11978 11994 11995 12003 12024 12029 12036 12055 12058 12062 12063 19952 19968 19969 19977 19998 20003 20010 20029 20032 20036 20037 27926 27942 27943 27951 27972 27977 27984 28003 28006 28010 28011 35900 35916 35917 35925 35946 35951 35958 35977 35980 35984 35985 43874 43890 43891 43899 43920 43925 43932 43951 43954 43958 43959 49017 49018 49019 49026 49040],107,176,154,0,75,22,109,80,25120,2,52,25563,12,184
MEDCO_theone_1_iccluster035.iccluster.epfl.ch,71,[4004 4020 4021 4029 4050 4055 4062 4081 4084 4088 4089 11978 11994 11995 12003 12024 12029 12036 12055 12058 12062 12063 19952 19968 19969 19977 19998 20003 20010 20029 20032 20036 20037 27926 27942 27943 27951 27972 27977 27984 28003 28006 28010 28011 35900 35916 35917 35925 35946 35951 35958 35977 35980 35984 35985 43874 43890 43891 43899 43920 43925 43932 43951 43954 43958 43959 49017 49018 49019 49026 49040],111,175,152,0,75,27,114,80,25962,2,54,26410,11,183
