node_name,count,patient_list,DDTRequestTime,KSRequestTime,KSTimeCommunication,KSTimeExec,TaggingTimeCommunication,TaggingTimeExec,medco-connector-DDT,medco-connector-i2b2-PDO,medco-connector-i2b2-PSM,medco-connector-local-agg,medco-connector-local-patient-list-masking,medco-connector-overall,medco-connector-unlynx-key-switch-count,medco-connector-unlynx-key-switch-patient-list
MEDCO_nebulaexp_0_iccluster032.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],19,33,27,0,11,2,20,52,584,0,9,713,10,35
MEDCO_nebulaexp_1_iccluster035.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],19,33,28,0,11,2,20,54,585,0,8,715,10,34
MEDCO_nebulaexp_2_iccluster037.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],19,31,25,0,11,2,21,62,605,0,8,744,13,32
MEDCO_nebulaexp_0_iccluster032.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],19,29,24,0,11,2,20,63,582,0,5,714,10,31
MEDCO_nebulaexp_1_iccluster035.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],18,32,27,0,12,1,19,55,608,0,9,740,12,33
MEDCO_nebulaexp_2_iccluster037.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],18,34,29,0,10,1,19,55,623,0,9,758,11,37
MEDCO_nebulaexp_0_iccluster032.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],18,33,27,0,10,2,19,56,566,0,7,697,12,34
MEDCO_nebulaexp_1_iccluster035.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],19,35,30,0,12,2,20,54,577,0,8,711,11,37
MEDCO_nebulaexp_2_iccluster037.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],18,33,28,0,11,2,20,55,699,0,8,832,11,35
MEDCO_nebulaexp_0_iccluster032.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],18,34,29,0,11,2,19,53,539,0,9,672,11,36
MEDCO_nebulaexp_1_iccluster035.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],17,35,29,0,9,2,18,53,584,0,9,715,11,37
MEDCO_nebulaexp_2_iccluster037.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],18,33,28,0,11,1,19,64,618,0,6,756,11,35
MEDCO_nebulaexp_0_iccluster032.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],19,35,30,0,11,2,20,53,552,0,9,686,11,37
MEDCO_nebulaexp_1_iccluster035.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],18,31,25,0,11,2,19,56,564,0,9,696,11,32
MEDCO_nebulaexp_2_iccluster037.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],18,31,26,0,10,2,19,53,622,0,8,748,10,32
MEDCO_nebulaexp_0_iccluster032.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],18,33,28,0,11,2,18,54,590,0,7,717,11,34
MEDCO_nebulaexp_1_iccluster035.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],19,27,23,0,11,2,20,51,673,0,8,795,11,29
MEDCO_nebulaexp_2_iccluster037.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],18,35,30,0,10,1,19,55,684,0,8,817,11,36
MEDCO_nebulaexp_0_iccluster032.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],18,28,23,0,11,1,19,54,555,0,9,682,11,30
MEDCO_nebulaexp_1_iccluster035.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],18,32,26,0,11,2,19,51,585,0,9,713,11,34
MEDCO_nebulaexp_2_iccluster037.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],17,34,29,0,10,1,18,52,580,0,8,708,11,36
MEDCO_nebulaexp_0_iccluster032.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],18,34,29,0,11,2,19,53,573,0,7,703,11,35
MEDCO_nebulaexp_1_iccluster035.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],18,30,25,0,11,2,19,53,581,0,9,709,11,32
MEDCO_nebulaexp_2_iccluster037.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],18,29,24,0,11,2,20,53,596,0,8,720,10,31
MEDCO_nebulaexp_0_iccluster032.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],18,34,29,0,11,2,19,54,594,0,9,728,11,36
MEDCO_nebulaexp_1_iccluster035.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],19,34,29,0,11,2,20,53,711,0,8,844,13,36
MEDCO_nebulaexp_2_iccluster037.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],19,32,27,0,11,2,20,52,770,0,7,898,11,34
MEDCO_nebulaexp_1_iccluster035.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],17,33,28,0,10,1,18,55,592,0,5,718,10,35
MEDCO_nebulaexp_2_iccluster037.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],18,31,26,0,11,2,19,54,697,0,9,827,11,33
MEDCO_nebulaexp_0_iccluster032.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],18,35,29,0,11,2,20,52,608,0,9,741,11,37
MEDCO_nebulaexp_0_iccluster032.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],18,27,23,0,11,2,19,51,600,0,9,723,11,29
MEDCO_nebulaexp_1_iccluster035.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],20,31,26,0,12,2,21,54,568,0,9,699,11,34
MEDCO_nebulaexp_2_iccluster037.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],19,31,27,0,11,2,20,54,576,0,7,704,11,33
MEDCO_nebulaexp_0_iccluster032.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],18,31,26,0,11,2,19,52,588,0,8,715,11,32
MEDCO_nebulaexp_1_iccluster035.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],18,33,27,0,11,1,19,54,574,0,8,706,12,35
MEDCO_nebulaexp_2_iccluster037.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],18,33,28,0,11,1,19,54,629,0,8,759,11,35
MEDCO_nebulaexp_0_iccluster032.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],19,34,29,0,11,2,20,49,635,0,9,764,11,36
MEDCO_nebulaexp_1_iccluster035.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],19,32,26,0,12,1,20,57,604,0,9,738,11,34
MEDCO_nebulaexp_2_iccluster037.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],19,32,27,0,11,2,20,54,666,0,8,796,11,34
MEDCO_nebulaexp_0_iccluster032.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],18,35,29,0,11,2,19,50,604,0,9,733,11,37
MEDCO_nebulaexp_1_iccluster035.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],17,31,26,0,10,2,18,54,586,0,8,712,10,32
MEDCO_nebulaexp_2_iccluster037.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],18,33,27,0,10,2,19,68,779,0,9,924,10,35
MEDCO_nebulaexp_0_iccluster032.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],17,32,26,0,10,1,18,53,596,0,9,725,11,34
MEDCO_nebulaexp_1_iccluster035.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],17,31,26,0,10,2,18,60,593,0,9,730,12,33
MEDCO_nebulaexp_2_iccluster037.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],16,29,23,0,9,1,17,53,693,0,9,818,11,31
MEDCO_nebulaexp_0_iccluster032.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],17,31,25,0,10,2,18,52,575,0,9,703,12,34
MEDCO_nebulaexp_1_iccluster035.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],18,28,22,0,11,2,20,54,562,0,9,689,11,30
MEDCO_nebulaexp_2_iccluster037.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],18,36,30,0,10,2,19,105,617,0,6,799,11,38
MEDCO_nebulaexp_0_iccluster032.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],20,25,20,0,12,2,21,54,570,0,6,692,11,26
MEDCO_nebulaexp_1_iccluster035.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],19,32,27,0,11,2,20,55,609,0,8,741,11,33
MEDCO_nebulaexp_2_iccluster037.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],19,31,26,0,11,2,20,54,670,0,9,800,11,33
MEDCO_nebulaexp_1_iccluster035.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],17,32,27,0,10,2,18,55,564,0,9,696,11,34
MEDCO_nebulaexp_2_iccluster037.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],18,25,20,0,11,2,19,129,598,0,9,797,11,27
MEDCO_nebulaexp_0_iccluster032.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],18,31,26,0,11,2,19,51,566,0,9,693,11,33
MEDCO_nebulaexp_0_iccluster032.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],17,31,26,0,10,1,18,56,568,0,9,700,12,34
MEDCO_nebulaexp_1_iccluster035.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],18,30,25,0,11,2,19,53,594,0,9,730,18,32
MEDCO_nebulaexp_2_iccluster037.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],16,28,23,0,9,1,17,53,575,0,6,700,15,31
MEDCO_nebulaexp_2_iccluster037.iccluster.epfl.ch,7,[1469 9443 17417 25391 33365 41339 48269],18,32,27,0,10,1,19,55,651,0,5,776,10,33
